O3    SolarRad	Tmax	Wind
(ppb) (MJ/m^2)	(oC)	(m/s)
41	7.95	19.44	16.55
36	4.94	22.22	17.90
12	6.23	23.33	28.19
18	13.10	16.67	25.72
23	12.51	18.33	19.24
19	4.14	15.00	30.87
8	0.79	16.11	44.96
16	10.71	20.56	21.70
11	12.13	18.89	20.58
14	11.46	20.00	24.38
18	2.72	14.44	29.53
14	13.97	17.78	25.72
34	12.84	18.89	26.84
6	3.26	13.89	41.16
30	13.47	20.00	25.72
11	1.84	16.67	21.70
1	0.33	15.00	21.70
11	13.39	22.78	37.13
4	1.05	16.11	21.70
32	3.85	16.11	26.84
23	0.54	19.44	26.84
45	10.54	27.22	33.33
115	9.33	26.11	12.75
37	11.67	24.44	16.55
29	5.31	27.78	21.70
71	12.18	32.22	30.87
39	13.51	30.56	25.72
23	6.19	27.78	17.90
21	7.99	25.00	33.33
37	11.88	22.22	46.30
20	1.55	18.33	20.58
12	5.02	22.78	25.72
13	5.73	24.44	23.04
135	11.25	28.89	8.95
49	10.38	29.44	20.58
32	9.87	27.22	20.58
64	7.32	28.33	10.29
40	13.14	28.33	24.38
77	11.55	31.11	11.41
97	11.17	33.33	14.09
97	11.38	33.33	12.75
85	7.32	31.67	16.55
10	11.05	22.78	31.99
27	7.32	27.22	33.33
7	2.01	26.67	31.99
48	10.88	27.22	15.43
35	11.46	27.78	23.04
61	11.92	28.89	14.09
79	7.82	30.56	11.41
63	9.20	29.44	25.72
16	0.29	23.33	15.43
80	12.30	30.00	19.24
108	9.33	29.44	17.90
20	3.39	27.78	19.24
52	3.43	30.00	26.84
82	8.91	31.11	16.55
50	11.51	30.00	16.55
64	10.59	28.33	16.55
59	10.63	27.22	20.58
39	3.47	27.22	15.43
9	1.00	27.22	30.87
16	3.22	27.78	16.55
122	10.67	31.67	8.95
89	9.58	32.22	23.04
110	8.66	32.22	17.90
44	8.03	30.00	25.72
28	11.42	27.78	25.72
65	6.57	26.67	21.70
22	2.97	25.00	23.04
59	2.13	26.11	14.09
23	4.81	24.44	16.55
31	10.21	25.56	24.38
44	7.95	25.56	23.04
21	10.84	25.00	34.67
9	1.51	22.22	31.99
45	8.87	26.11	21.70
168	9.96	27.22	7.61
73	9.00	30.00	17.90
76	8.49	36.11	21.70
118	9.41	34.44	5.14
84	9.92	35.56	14.09
85	7.87	34.44	14.09
96	6.99	32.78	15.43
78	8.24	33.33	11.41
73	7.66	33.89	6.26
91	7.91	33.89	10.29
47	3.97	30.56	16.55
32	3.85	28.89	34.67
20	10.54	26.67	24.38
23	9.20	25.56	23.04
21	9.62	23.89	24.38
24	10.84	22.78	21.70
44	9.87	27.22	33.33
21	10.84	24.44	34.67
28	9.96	25.00	14.09
9	1.00	21.67	24.38
13	4.69	21.67	25.72
46	9.92	25.56	15.43
18	9.37	19.44	30.87
13	1.13	24.44	23.04
24	9.96	20.00	23.04
16	8.41	27.78	17.90
13	9.96	17.78	28.19
23	0.59	21.67	20.58
36	5.82	27.22	23.04
7	2.05	20.56	23.04
14	0.84	17.22	37.13
30	8.08	21.11	15.43
14	7.99	23.89	31.99
18	5.48	24.44	17.90
20	9.33	20.00	25.72
