Year	Month	Day	Flow (m3/s)
1993	1	1	130.1
1993	1	2	208.1
1993	1	3	202.2
1993	1	4	206
1993	1	5	384.2
1993	1	6	313
1993	1	7	335.1
1993	1	8	326
1993	1	9	410.7
1993	1	10	479.9
1993	1	11	405.5
1993	1	12	347.2
1993	1	13	330.4
1993	1	14	320.5
1993	1	15	862.8
1993	1	16	1127
1993	1	17	1965
1993	1	18	1081
1993	1	19	746.9
1993	1	20	816.9
1993	1	21	819
1993	1	22	856.1
1993	1	23	725
1993	1	24	978.5
1993	1	25	665.2
1993	1	26	582.6
1993	1	27	456.5
1993	1	28	402
1993	1	29	348.7
1993	1	30	335.2
1993	1	31	292.4
1993	2	1	258.1
1993	2	2	216.7
1993	2	3	328.5
1993	2	4	406.4
1993	2	5	408.5
1993	2	6	447.9
1993	2	7	384.9
1993	2	8	313.3
1993	2	9	244.2
1993	2	10	227.4
1993	2	11	242.7
1993	2	12	224
1993	2	13	212.4
1993	2	14	196.7
1993	2	15	204.2
1993	2	16	183.1
1993	2	17	163.9
1993	2	18	158.2
1993	2	19	142.4
1993	2	20	140.2
1993	2	21	135.6
1993	2	22	138.3
1993	2	23	137.7
1993	2	24	131.2
1993	2	25	133.2
1993	2	26	128.4
1993	2	27	111.4
1993	2	28	97.12
1993	3	1	84.99
1993	3	2	73.97
1993	3	3	70.4
1993	3	4	67.77
1993	3	5	97.33
1993	3	6	86.35
1993	3	7	83.35
1993	3	8	77.83
1993	3	9	69
1993	3	10	61.83
1993	3	11	63.29
1993	3	12	73.11
1993	3	13	76.05
1993	3	14	83.03
1993	3	15	87.73
1993	3	16	102
1993	3	17	182.2
1993	3	18	255.9
1993	3	19	238
1993	3	20	208.4
1993	3	21	231.7
1993	3	22	213.4
1993	3	23	212.2
1993	3	24	170.4
1993	3	25	139.4
1993	3	26	126.8
1993	3	27	112.4
1993	3	28	175.8
1993	3	29	352.2
1993	3	30	939.9
1993	3	31	496.6
1993	4	1	357.7
1993	4	2	322.5
1993	4	3	297.8
1993	4	4	320.6
1993	4	5	408.3
1993	4	6	423.5
1993	4	7	338.5
1993	4	8	332.1
1993	4	9	658.6
1993	4	10	649.8
1993	4	11	449.3
1993	4	12	372.5
1993	4	13	320.5
1993	4	14	277.8
1993	4	15	254.6
1993	4	16	211.2
1993	4	17	188.9
1993	4	18	181.2
1993	4	19	223.5
1993	4	20	320.7
1993	4	21	334
1993	4	22	276
1993	4	23	273.1
1993	4	24	245.8
1993	4	25	221.5
1993	4	26	206.5
1993	4	27	198.8
1993	4	28	194.4
1993	4	29	183.4
1993	4	30	164.5
1993	5	1	137.3
1993	5	2	108.6
1993	5	3	99.46
1993	5	4	112.8
1993	5	5	101.2
1993	5	6	91.63
1993	5	7	89.67
1993	5	8	85.35
1993	5	9	74.66
1993	5	10	68.74
1993	5	11	66.39
1993	5	12	67.33
1993	5	13	84.82
1993	5	14	97.91
1993	5	15	117
1993	5	16	128.2
1993	5	17	554.8
1993	5	18	445.7
1993	5	19	260.2
1993	5	20	218
1993	5	21	185.8
1993	5	22	142.5
1993	5	23	120.3
1993	5	24	116
1993	5	25	98.88
1993	5	26	91.12
1993	5	27	100.9
1993	5	28	98.19
1993	5	29	99.29
1993	5	30	145
1993	5	31	185
1993	6	1	155
1993	6	2	202
1993	6	3	146.7
1993	6	4	137.2
1993	6	5	133.5
1993	6	6	129
1993	6	7	123.8
1993	6	8	112.9
1993	6	9	103
1993	6	10	95.53
1993	6	11	85.88
1993	6	12	86.12
1993	6	13	80.98
1993	6	14	84.35
1993	6	15	77.11
1993	6	16	84.89
1993	6	17	78.39
1993	6	18	86.9
1993	6	19	73.82
1993	6	20	70.25
1993	6	21	70.44
1993	6	22	69.86
1993	6	23	63.81
1993	6	24	62.71
1993	6	25	66.3
1993	6	26	77.05
1993	6	27	56.56
1993	6	28	55.65
1993	6	29	51.46
1993	6	30	54.66
1993	7	1	54.03
1993	7	2	50.42
1993	7	3	50.2
1993	7	4	49.97
1993	7	5	49.07
1993	7	6	48.47
1993	7	7	45.64
1993	7	8	49.34
1993	7	9	53.21
1993	7	10	51.45
1993	7	11	49.93
1993	7	12	47.96
1993	7	13	46.63
1993	7	14	48.45
1993	7	15	52.24
1993	7	16	105.8
1993	7	17	78.32
1993	7	18	60.7
1993	7	19	58.96
1993	7	20	74.22
1993	7	21	60.85
1993	7	22	56.99
1993	7	23	64.11
1993	7	24	63.72
1993	7	25	67.22
1993	7	26	64.51
1993	7	27	65.56
1993	7	28	64.95
1993	7	29	63.66
1993	7	30	62.85
1993	7	31	61.8
1993	8	1	61.48
1993	8	2	68.62
1993	8	3	83.27
1993	8	4	75.58
1993	8	5	81.14
1993	8	6	81.65
1993	8	7	83.55
1993	8	8	79.33
1993	8	9	78.19
1993	8	10	77.24
1993	8	11	81.71
1993	8	12	84.35
1993	8	13	74.92
1993	8	14	72.59
1993	8	15	83.19
1993	8	16	83.41
1993	8	17	76.25
1993	8	18	69.99
1993	8	19	68.35
1993	8	20	65.71
1993	8	21	65.29
1993	8	22	61.51
1993	8	23	61.13
1993	8	24	62.97
1993	8	25	58.75
1993	8	26	55.26
1993	8	27	54.33
1993	8	28	58.18
1993	8	29	52.46
1993	8	30	51.36
1993	8	31	48.66
1993	9	1	47.59
1993	9	2	46.49
1993	9	3	44.44
1993	9	4	43.54
1993	9	5	42.9
1993	9	6	42.67
1993	9	7	42.33
1993	9	8	43.54
1993	9	9	50.27
1993	9	10	90.96
1993	9	11	124.6
1993	9	12	85.65
1993	9	13	75.81
